aid	title_google	title_onlinedoc	title_deepl
118436	Truck remains hanging on bridge - high damage 	Truck gets stuck on bridge - high damage	Truck gets stuck on bridge - high damage
118437	More than 2200 refugees died in 2018 in the Mediterranean 	More than 2,200 refugees died in the Mediterranean in 2018	More than 2200 refugees died in the Mediterranean Sea in 2018
118438	Discount associations Dissatisfied with German train 	Local transport associations dissatisfied with Deutsche Bahn	Local transport associations dissatisfied with Deutsche Bahn
118439	Prosecutor's Office demands five death sentences 	Prosecutor calls for five death sentences	Prosecution demands five death sentences
118441	Six car occupants flee after accident before Cologne police 	Six car occupants flee from the Cologne police after an accident	Six car occupants flee from Cologne police after accident
118442	Fault in block C of the power plant Niederaussem 	Fault in Block C of the Niederaussem power plant	Malfunction in unit C of the Niederaussem power plant
118443	"When the ""emergency"" calls three times "	"When the ""emergency"" calls three times"	"When the ""emergency"" calls three times"
118444	Police stop transporters with uncooled meat 	Police stop vans with unrefrigerated meat	Police stop transporter with unrefrigerated meat
118445	Ex-NPD politician Maik Schneider is free 	Ex-NPD politician Maik Schneider is released	Ex-NPD politician Maik Schneider is released
118447	New enclosure above the construction site is being built 	New housing is being built over the construction site	New enclosure over the construction site is erected
118449	Leverkusen, as it once was - there are not these places anymore 	Leverkusen as it once was - these places no longer exist	Leverkusen as it once was - These places no longer exist like this
118450	Police Cologne is looking for burglar duo 	Cologne police are looking for a burglar duo	Cologne police looking for burglar duo
118451	Sagittarius fired on man - shots for Böller 	Sagittarius fired at man - shots were mistaken for firecrackers	Shooter fired at man - shots mistaken for firecrackers
118452	"Population was afraid of ""human residents"" "	"The population was afraid of ""ogres"""	"Population was afraid of ""man-eaters"
118453	Chip Group prohibits Apple selling this iPhone models 	Chip company bans Apple from selling these iPhone models	Chip company bans Apple from selling these iPhone models
118454	The most powerful counterpartist of Donald Trump 	Donald Trump's most powerful opponent	The most powerful opponent of Donald Trump
118455	KVB-Bahn line 1 bumps with car 	KVB-Bahn line 1 collides with a car	KVB train of line 1 collides with car
118456	These erotic toys can easily be spied out 	These adult toys are very easy to spy on	These erotic toys can be spied quite easily
118458	Lauterbach talks about clean air and highway plans 	Lauterbach talks about clean air and highway plans	Lauterbach talks about clean air and highway plans
118459	Cause of lantern failure on the roundabout Schnabelsmühle fixed 	The cause of the lantern failure on the Schnabel mill fixed	Cause of lantern failure at Schnabelsmühle traffic circle resolved
118460	Teenagers at cigarette machine blowing 	Youngsters caught blowing up the cigarette machine	Teenagers caught in cigarette vending machine blast
118461	Student Nico Lewin wins audience price 	Student Nico Lewin wins audience award	Student Nico Lewin wins audience award
118462	LARP - the desire to be another a few days 	Larp - the desire to be someone else for a few days	Larp - the desire to be someone else for a few days
118463	In February, for the first time in the new Civic Village will be tagged 	In February the first meeting will take place in the new community village	February to be the first meeting in the new civic village
118464	Bundesagentur boss pleads for reform - SPD in criticism 	Federal agency boss pleads for reform - SPD under criticism	Federal agency boss pleads for reform - SPD criticized
118465	How suitable for everyday use is the Kölsche language still? 	How suitable is the Cologne language for everyday use?	How suitable is the Cologne language for everyday use?
118466	Diabetes - a disease as a companion for life 	Diabetes - a disease as a companion for life	Diabetes - A disease as a companion for life
118467	This image from Lindlar traveled around half the world 	This picture from Lindlar traveled halfway around the world	This picture from Lindlar traveled halfway around the world
118468	Markus Eisenbichler is on the way to the winning man 	Markus Eisenbichler is on the way to becoming a victory jumper	Markus Eisenbichler is on his way to becoming the winning jumper
118469	Strikes - six percent more wages threaten in tax offices threaten 	Strikes threaten in tax offices - six percent more wages are demanded	Strikes threatened in tax offices - six percent wage increase demanded
118470	The revolutionary from the bakery 	The revolutionary from the bakery	The revolutionary from the bakery
118472	Newer aura of the invincible is long ago faded 	Neuer's aura of the indomitable has long since faded	Neuer's aura of the indomitable has long since faded
118473	Shared power is the new hope for America 	Power shared is America's new hope	Shared power is the new hope for America
118474	That's why the Kölsch band loses your singer 	That's why the Kölsch band Lupo loses its singer	This is why the Kölsch band Lupo loses its singer
118475	Cologne / Bonn Airport benefits from Ryanair growth 	Cologne / Bonn Airport benefits from Ryanair growth	Cologne/Bonn Airport benefits from Ryanair growth
118476	"""More pay instead of debt reduction"" "	"""More wages instead of debt reduction"""	"""More wages instead of debt reduction"""
118477	Kerpen fan club chairman congratulates Michael Schumacher on the radio 	Kerpener fan club chairman congratulates Michael Schumacher on the radio	Kerpen fan club chairman congratulates Michael Schumacher on the radio
118480	Waldbröler is injured in accident life-threatening 	Waldbrölerin is critically injured in an accident	Waldbrölerin is life-threateningly injured in accident
118481	City of Bonn will not go blue phones 	City of Bonn cannot get rid of blue telephones	City of Bonn does not get rid of blue phones
118487	These candidates move in the jungle camp in 2019 	These candidates will move to the jungle camp in 2019	These candidates are moving into the jungle camp in 2019
118489	"""Star converter"" has succeeded "	“Star magic” was a success	"""Star magic"" has succeeded"
118490	Politicians and real estate owners criticize the city 	Politicians and property owners criticize the city	Politicians and property owners criticize the city
118491	So fitness trainer affect whether we hate our body or love 	This is how fitness trainers influence whether we hate or love our bodies	Here's how fitness trainers influence whether we hate or love our bodies
118492	Neighbors of asbestos loaded Ville-Express write to administration 	Neighbors of the asbestos-contaminated Ville-Express write to the administration	Neighbors of the asbestos-contaminated Ville Express write to administration
118493	Sewswitch looted in the Lokal Klein's Eck in Hennef 	Looted the savings box in the Klein's Eck restaurant in Hennef	Savings boxes looted in Klein's Eck restaurant in Hennef
118494	Green calling for limitations for fireworks 	Greens are calling for restrictions on fireworks	Greens call for restrictions on fireworks
118495	Future of Postbank Filiale on the Angle Path 	The future of the Postbank branch on Winkelpfad remains open	Future of the Postbank branch on Winkelpfad still open
118496	Chempark is a year ago with a lot of uncertainty 	Chempark faces the year with a lot of uncertainty	Chempark faces year with much uncertainty
118497	"""Battle scenes have to look like that,"" "	"""Fight scenes must look so shitty"""	"""Fight scenes have to look so fucked up""."
118498	No end of the US shutdown in sight 	No end of the US shutdown in sight	No end to the US shutdown in sight
118499	Two children from hands from Lev Tahor freed 	Two children freed from the hands of Lev Tahor	Two children freed from hands of Lev Tahor
